ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
767505,Plottable Field (8 frames) #40,237,91.09552605025932,1,2,1,1,1,1,16,50,2,2,7,3
917633,Plottable Field (8 frames) #243,238,90.86236188138994,1,36,1,1,1,1,15,9,1,2,16,3
918952,Plottable Field (8 frames) #247,239,90.70544781023513,1,2,1,1,1,1,20,50,1,2,6,1
767563,Plottable Field (8 frames) #51,240,90.51332394614514,1,2,1,1,1,1,26,44,1,2,3,3
767492,Plottable Field (8 frames) #38,241,90.51111046584373,1,2,1,1,1,1,9,57,2,2,7,3
770212,Plottable Field (8 frames) #79,242,90.49982010460742,1,2,1,1,1,1,12,57,1,2,6,1
883917,Plottable Field (8 frames) #200,243,90.4684581100285,25,2,1,1,1,1,4,44,1,2,3,1
921642,Plottable Field (8 frames) #259,244,88.79305928928426,1,2,1,1,1,22,15,33,1,2,3,3
911558,Plottable Field (8 frames) #232,245,88.78137851990029,1,2,1,1,1,1,20,50,2,2,3,1
765652,Plottable Field (8 frames) #14,246,88.7439743971488,1,36,1,1,1,1,14,9,1,2,16,1
770455,Plottable Field (8 frames) #88,247,88.59245924563365,1,36,1,1,1,1,14,9,1,2,16,1
998632,Plottable Field (8 frames) #344,248,88.52652365689497,1,2,1,1,1,22,16,33,1,2,3,1
929657,Plottable Field (8 frames) #278,249,87.97774649677457,1,36,1,1,1,1,12,9,1,2,16,3
767522,Plottable Field (8 frames) #44,250,87.14115824548136,25,6,1,1,1,11,14,13,1,2,6,1
894459,Plottable Field (8 frames) #205,251,86.99520801774877,1,2,1,1,1,22,4,21,1,8,3,18
792873,Plottable Field (8 frames) #144,252,86.98365410015765,1,2,12,1,1,1,33,20,1,2,6,3
