ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168056,BRUTALIST MOVEMENT #53,17,84.06040865384615,7,4,Short,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168342,BRUTALIST MOVEMENT #242,18,83.26214482319844,7,3,Short,Signature,Black,Blue,Red,White
1168048,BRUTALIST MOVEMENT #45,19,74.7782206632653,7,3,Medium,Comodo,Blueberry,Moody Blue,White,Neptune
1168085,BRUTALIST MOVEMENT #82,20,73.07960028097075,7,5,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168203,BRUTALIST MOVEMENT #198,20,73.07960028097075,7,5,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168237,BRUTALIST MOVEMENT #227,20,73.07960028097075,7,5,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168029,BRUTALIST MOVEMENT #26,23,73.02782714781094,7,6,Tall,Signature Plus,Black,Red,Deep Lemon,Blue
1168117,BRUTALIST MOVEMENT #113,24,72.90888503130813,7,8,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168177,BRUTALIST MOVEMENT #172,24,72.90888503130813,7,8,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168226,BRUTALIST MOVEMENT #220,26,72.67716879715259,7,8,Tall,Signature Plus,Black,Red,Deep Lemon,Blue
1168217,BRUTALIST MOVEMENT #212,27,71.9399893099731,7,4,Tall,Signature Plus,Black,Red,Deep Lemon,Blue
1168181,BRUTALIST MOVEMENT #176,28,71.92170554412864,7,7,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168192,BRUTALIST MOVEMENT #187,28,71.92170554412864,7,7,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168055,BRUTALIST MOVEMENT #52,30,71.5849708502511,7,3,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168059,BRUTALIST MOVEMENT #56,30,71.5849708502511,7,3,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168100,BRUTALIST MOVEMENT #97,30,71.5849708502511,7,3,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168248,BRUTALIST MOVEMENT #230,30,71.5849708502511,7,3,Tall,Comodo,Blueberry,Moody Blue,White,Neptune
1168162,BRUTALIST MOVEMENT #157,34,71.2109176944159,7,4,Medium,Comodo,Black,Blueberry,Moody Blue,White
1168070,BRUTALIST MOVEMENT #67,35,70.7487818606784,7,6,Medium,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168087,BRUTALIST MOVEMENT #84,36,70.62418300053835,7,3,Medium,Comodo,Black,Blueberry,Moody Blue,White
1168102,BRUTALIST MOVEMENT #99,37,69.66094402284057,7,4,Medium,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168114,BRUTALIST MOVEMENT #110,38,69.6553739898651,7,3,Short,Signature,Black,Blue,White,Red
1168062,BRUTALIST MOVEMENT #59,39,69.10550571923952,7,6,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168122,BRUTALIST MOVEMENT #118,39,69.10550571923952,7,6,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168033,BRUTALIST MOVEMENT #30,41,69.07420932896302,7,3,Medium,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168207,BRUTALIST MOVEMENT #202,41,69.07420932896302,7,3,Medium,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168216,BRUTALIST MOVEMENT #211,43,68.92556261824379,7,5,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168007,BRUTALIST MOVEMENT #4,44,68.75484736858117,7,8,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168382,BRUTALIST MOVEMENT #246,44,68.75484736858117,7,8,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168107,BRUTALIST MOVEMENT #104,46,67.94048918801205,7,6,Medium,Station,Steel Blue,Thunder,White,Flame Pea
1168011,BRUTALIST MOVEMENT #8,47,67.76766788140168,7,7,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168094,BRUTALIST MOVEMENT #91,48,67.76054608701632,7,5,Medium,Station,Steel Blue,Thunder,White,Flame Pea
1168019,BRUTALIST MOVEMENT #16,49,67.5555320476642,7,6,Tall,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168155,BRUTALIST MOVEMENT #150,50,67.43093318752413,7,3,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168209,BRUTALIST MOVEMENT #204,50,67.43093318752413,7,3,Tall,Comodo,Black,Blueberry,Moody Blue,White
1168118,BRUTALIST MOVEMENT #114,52,67.37558894666847,7,5,Tall,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168166,BRUTALIST MOVEMENT #161,53,66.85265135017421,7,4,Medium,Station,Steel Blue,Thunder,White,Flame Pea
1168210,BRUTALIST MOVEMENT #205,53,66.85265135017421,7,4,Medium,Station,Steel Blue,Thunder,White,Flame Pea
1168049,BRUTALIST MOVEMENT #46,55,66.83323912298732,7,7,Medium,Signature Plus,Black,White,Red,Deep Lemon
